Date,Open,High,Low,Close,Volume
2019-07-04,11972.71875,12006.0751953125,11166.5693359375,11215.4375,25920294033
2019-07-05,11203.1025390625,11395.6611328125,10874.96484375,10978.4599609375,23838480210
2019-07-06,10982.5439453125,11620.96484375,10982.5439453125,11208.55078125,21092024306
2019-07-07,11217.6162109375,11541.6201171875,11148.8046875,11450.8466796875,19369044277
2019-07-08,11446.5966796875,12345.8330078125,11393.3740234375,12285.9580078125,23482551458
2019-07-09,12284.326171875,12779.1318359375,12233.26171875,12573.8125,28167921523
2019-07-10,12571.537109375,13129.529296875,11710.978515625,12156.5126953125,33627574244
2019-07-11,12139.7138671875,12144.623046875,11158.9228515625,11358.662109375,28595327690
2019-07-12,11354.2998046875,11905.4873046875,11179.14453125,11815.986328125,23534692797
2019-07-13,11813.126953125,11841.95703125,10908.4794921875,11392.37890625,21042616384
2019-07-14,11381.0205078125,11451.2041015625,10234.576171875,10256.05859375,22486000001
2019-07-15,10257.8388671875,11052.7666015625,9992.0068359375,10895.08984375,25384047207
2019-07-16,10896.6533203125,10996.6328125,9448.1064453125,9477.6416015625,24151199070
2019-07-17,9471.2138671875,9963.134765625,9163.134765625,9693.802734375,24569921549
2019-07-18,9698.5029296875,10736.8427734375,9376.798828125,10666.482421875,25187024648
2019-07-19,10653.9560546875,10716.98046875,10229.62890625,10530.732421875,20727426310
2019-07-20,10525.8193359375,11048.662109375,10451.2763671875,10767.1396484375,20206615155
2019-07-21,10777.529296875,10841.8876953125,10389.599609375,10599.10546875,17130580467
2019-07-22,10596.9482421875,10651.791015625,10154.921875,10343.1064453125,16334414913
2019-07-23,10346.748046875,10346.748046875,9883.5947265625,9900.767578125,17851916995
2019-07-24,9887.73046875,9908.796875,9614.306640625,9811.92578125,17398734322
2019-07-25,9809.0966796875,10154.25390625,9773.95703125,9911.841796875,15821952090
2019-07-26,9913.126953125,9916.517578125,9717.982421875,9870.3037109375,14495714483
2019-07-27,9871.1650390625,10167.3203125,9411.521484375,9477.677734375,16817809536
2019-07-28,9491.626953125,9575.544921875,9252.296875,9552.8603515625,13738687093
2019-07-29,9548.1787109375,9681.6484375,9472.9482421875,9519.1455078125,13791445323
2019-07-30,9522.3291015625,9701.759765625,9437.3359375,9607.423828125,13829811132
2019-07-31,9604.05078125,10085.6279296875,9598.09765625,10085.6279296875,16631520648
2019-08-01,10077.4423828125,10446.919921875,9922.01953125,10399.6689453125,17165337858
2019-08-02,10402.04296875,10657.953125,10371.013671875,10518.1748046875,17489094082
2019-08-03,10519.2783203125,10946.78125,10503.5048828125,10821.7265625,15352685061
2019-08-04,10821.6328125,11009.20703125,10620.2783203125,10970.1845703125,16530894787
2019-08-05,10960.7353515625,11895.091796875,10960.7353515625,11805.6533203125,23875988832
2019-08-06,11811.544921875,12273.8212890625,11290.7314453125,11478.1689453125,23635107660
2019-08-07,11476.193359375,12036.990234375,11433.701171875,11941.96875,22194988641
2019-08-08,11954.0400390625,11979.419921875,11556.16796875,11966.4072265625,19481591730
2019-08-09,11953.4697265625,11970.4580078125,11709.7451171875,11862.9365234375,18339989960
2019-08-10,11861.556640625,11915.6552734375,11323.8984375,11354.0244140625,18125355447
2019-08-11,11349.740234375,11523.5791015625,11248.294921875,11523.5791015625,15774371518
2019-08-12,11528.189453125,11528.189453125,11320.951171875,11382.6162109375,13647198229
2019-08-13,11385.052734375,11420.0498046875,10830.3271484375,10895.830078125,16681503537
2019-08-14,10889.4873046875,10889.556640625,10028.1357421875,10051.7041015625,19990838300
2019-08-15,10038.421875,10437.4111328125,9675.31640625,10311.5458984375,22899115082
2019-08-16,10319.419921875,10524.349609375,9855.478515625,10374.3388671875,20228207096
2019-08-17,10358.72265625,10452.625,10086.6982421875,10231.744140625,13778035685
2019-08-18,10233.005859375,10487.0703125,10119.0947265625,10345.810546875,12999813869
2019-08-19,10350.283203125,10916.0537109375,10313.2041015625,10916.0537109375,16038264603
2019-08-20,10916.3466796875,10947.0419921875,10618.9609375,10763.232421875,15053082175
2019-08-21,10764.572265625,10798.7294921875,9962.7216796875,10138.0498046875,19473084768
