Date,Open,High,Low,Close,Volume
2019-07-01,291.7646179199219,310.1393127441406,282.6947021484375,305.7005615234375,42848058106
2019-07-08,305.7347717285156,318.2231140136719,227.2692108154297,227.57806396484375,64474442450
2019-07-15,227.96505737304688,235.02565002441406,193.99041748046875,225.63076782226562,59743620424
2019-07-22,225.6986541748047,226.86257934570312,202.25289916992188,211.18655395507812,44707643476
2019-07-29,211.1236572265625,224.62322998046875,206.86761474609375,222.6697235107422,40040161993
2019-08-05,222.65087890625,239.11590576171875,203.79310607910156,216.09286499023438,49136843740
2019-08-12,216.055908203125,216.14256286621094,178.14256286621094,194.4935302734375,45877953733
2019-08-19,194.5560302734375,203.56015014648438,182.68917846679688,186.84239196777344,46632300378
2019-08-26,186.7355499267578,193.4421844482422,167.0714111328125,171.62942504882812,44238019253
2019-09-02,171.69760131835938,182.97708129882812,168.34133911132812,181.35552978515625,45055593571
2019-09-09,181.36248779296875,190.3993377685547,176.50091552734375,189.78912353515625,45198762797
2019-09-16,189.6893310546875,222.87168884277344,189.6893310546875,211.54537963867188,61873464397
2019-09-23,211.7132110595703,211.84051513671875,157.1303253173828,170.50347900390625,58169155810
2019-09-30,170.4613494873047,185.0455322265625,167.03660583496094,173.05914306640625,45885221242
2019-10-07,172.94033813476562,195.3188018798828,171.52781677246094,182.0751495361328,56130669074
2019-10-14,182.02847290039062,187.75987243652344,171.0050506591797,175.5343780517578,50355262089
2019-10-21,175.52474975585938,195.9425048828125,157.4634246826172,184.24221801757812,65738937005
2019-10-28,184.3975067138672,191.8467559814453,179.81814575195312,182.42501831054688,67116189196
2019-11-04,182.31903076171875,193.54725646972656,181.8216094970703,189.47727966308594,65020785596
2019-11-11,189.5029296875,190.3384246826172,179.3795623779297,185.11923217773438,53855340906
2019-11-18,185.0414581298828,186.92715454101562,142.34410095214844,142.83470153808594,59169235619
2019-11-25,142.69700622558594,156.84840393066406,133.80233764648438,151.18572998046875,55908526365
2019-12-02,151.17547607421875,153.1553955078125,145.00088500976562,151.2647247314453,46298515511
2019-12-09,151.22439575195312,151.9139404296875,139.4269561767578,143.114990234375,50079312865
2019-12-16,143.1395263671875,143.224853515625,119.78005981445312,132.3725128173828,64222383055
2019-12-23,132.30699157714844,136.8112030029297,124.82080841064453,134.7579803466797,60680673988
2019-12-30,134.79652404785156,139.4102020263672,126.49002075195312,136.2767791748047,60136182925
2020-01-06,136.3055419921875,146.8280029296875,135.52040100097656,145.87393188476562,62381414344
2020-01-13,146.2201385498047,178.52877807617188,142.90713500976562,166.9698486328125,97639543132
2020-01-20,166.9041290283203,171.00869750976562,156.74974060058594,168.0771026611328,68717085329
2020-01-27,168.00885009765625,193.0803985595703,166.90109252929688,188.61753845214844,83460146823
2020-02-03,188.60740661621094,229.86424255371094,185.40362548828125,228.5785675048828,103844093984
2020-02-10,228.54913330078125,287.1236877441406,218.08004760742188,259.89471435546875,155914144464
2020-02-17,259.89056396484375,283.5379333496094,244.3353271484375,273.754150390625,155804425527
2020-02-24,273.705078125,275.5395202636719,212.66452026367188,218.97059631347656,155085502169
2020-03-02,218.7116241455078,249.97848510742188,200.6029815673828,200.68905639648438,135115381288
2020-03-09,201.31849670410156,207.45140075683594,95.1843032836914,125.21430206298828,134434550043
2020-03-16,124.9961166381836,150.8538055419922,105.17144012451172,123.32115173339844,101229181040
2020-03-23,123.36598205566406,141.9485321044922,121.86788177490234,125.58373260498047,87056124995
2020-03-30,125.57789611816406,146.89987182617188,125.28968048095703,143.54664611816406,87098050994
2020-04-06,143.60821533203125,175.20413208007812,143.5446014404297,161.14242553710938,121920291111
2020-04-13,160.72067260742188,188.0989227294922,150.3594207763672,181.61495971679688,107577023560
2020-04-20,181.480224609375,199.344970703125,170.32127380371094,197.31753540039062,130380747534
2020-04-27,197.47572326660156,227.52969360351562,193.45416259765625,210.9331512451172,150920674315
2020-05-04,210.89085388183594,216.3276824951172,182.71116638183594,188.5995635986328,150152686073
2020-05-11,188.63218688964844,209.1609344482422,180.7183380126953,207.15869140625,120611336121
2020-05-18,207.17977905273438,215.90846252441406,193.346435546875,202.37034606933594,92336624901
2020-05-25,201.98265075683594,244.04525756835938,200.2642822265625,230.9757080078125,82946409011
2020-06-01,230.86026000976562,252.2220001220703,230.48805236816406,245.16725158691406,74719731540
2020-06-08,245.17857360839844,249.8883056640625,229.6450653076172,234.1147003173828,61122813318
2020-06-15,234.0583038330078,236.39430236816406,221.24176025390625,228.9898223876953,51716551698
2020-06-22,229.0033721923828,248.50802612304688,219.47267150878906,225.34716796875,51841369946
2020-06-29,225.36143493652344,232.75611877441406,222.25498962402344,227.6645965576172,41125720927
2020-07-06,227.6850128173828,248.30886840820312,227.02952575683594,242.13169860839844,53066933316
2020-07-13,242.18186950683594,244.31051635742188,231.6211700439453,238.48751831054688,44675225989
2020-07-20,238.494873046875,316.3863220214844,234.85264587402344,309.64361572265625,62645824049
2020-07-27,309.6579284667969,411.2283020019531,307.7213439941406,370.6717224121094,95693504118
2020-08-03,371.13385009765625,406.303955078125,367.9355163574219,391.1204528808594,82646258586
2020-08-10,391.04150390625,444.5777587890625,367.9236145019531,433.78662109375,95016597656
2020-08-17,433.9737548828125,442.7349853515625,382.81463623046875,391.3844909667969,78437445412
2020-08-24,391.6789855957031,428.6639709472656,374.3553771972656,428.3957214355469,72292749517
2020-08-31,428.5090026855469,487.2118835449219,316.77435302734375,353.3622741699219,145223038277
2020-09-07,353.45025634765625,388.9598083496094,326.2543640136719,365.57000732421875,141321660574
2020-09-14,365.6995849609375,393.901611328125,356.6827392578125,371.0528259277344,107134484147
2020-09-21,371.400146484375,375.7370300292969,317.69207763671875,357.3216857910156,90393848168
2020-09-28,357.3111572265625,369.2869873046875,337.35693359375,353.1219177246094,75377704565
2020-10-05,353.0458068847656,378.26715087890625,335.5335998535156,375.1420593261719,69682766235
2020-10-12,381.9714660644531,387.2961730957031,362.597412109375,378.21368408203125,65552032397
2020-10-19,378.4696350097656,420.14166259765625,367.60107421875,406.2177734375,99915168196
2020-10-26,406.2179870605469,411.2798767089844,375.0924072265625,396.3581848144531,92733203628
2020-11-02,396.3559875488281,465.67547607421875,371.312744140625,453.5547790527344,104056836726
2020-11-09,453.57415771484375,475.2172546386719,435.16387939453125,447.55908203125,86559593873
2020-11-16,447.5589904785156,579.3724975585938,445.5016174316406,558.068115234375,117742517844
2020-11-23,558.0595092773438,621.1734008789062,485.497314453125,575.758056640625,148365425751
2020-11-30,575.757080078125,635.1605834960938,563.1066284179688,601.9089965820312,121611808952
2020-12-07,601.797119140625,602.9179077148438,532.9984130859375,589.6632080078125,81351653045
2020-12-14,589.782470703125,673.834228515625,577.118408203125,638.2908325195312,100712316665
2020-12-21,638.315185546875,711.3935546875,560.3642578125,682.642333984375,113119816165
2020-12-28,683.205810546875,1006.5650024414062,683.205810546875,975.5076904296875,152747909037
2021-01-04,977.058837890625,1347.9261474609375,912.3053588867188,1262.2467041015625,301834730092
2021-01-11,1261.6229248046875,1290.0535888671875,924.922607421875,1230.1722412109375,259298253002
2021-01-18,1230.313232421875,1432.300048828125,1046.5965576171875,1391.609375,273320283914
2021-01-25,1390.639892578125,1467.784912109375,1215.311279296875,1314.9862060546875,273750977500
2021-02-01,1314.855224609375,1756.510986328125,1274.3577880859375,1614.227783203125,280790741209
2021-02-08,1613.6422119140625,1871.603515625,1571.5799560546875,1805.0841064453125,274834235664
2021-02-15,1804.6767578125,2036.2864990234375,1683.9066162109375,1935.60107421875,222027748895
2021-02-22,1935.557861328125,1936.4537353515625,1300.47216796875,1416.0489501953125,230065320353
2021-03-01,1417.151123046875,1730.9241943359375,1416.4161376953125,1723.15380859375,159760752478
2021-03-08,1724.229248046875,1937.6455078125,1670.9420166015625,1854.5643310546875,167054641757
2021-03-15,1854.086669921875,1889.1966552734375,1705.716064453125,1788.217041015625,164754388552
2021-03-22,1788.3621826171875,1811.96826171875,1560.3704833984375,1691.35595703125,163726181464
2021-03-29,1691.26318359375,2152.451904296875,1683.716552734375,2093.122802734375,199331046462
2021-04-05,2093.2607421875,2196.996337890625,1945.442138671875,2157.656982421875,184033037350
2021-04-12,2157.36181640625,2547.5556640625,2011.766845703125,2237.136962890625,238346115303
2021-04-19,2238.03271484375,2641.094970703125,2060.143798828125,2316.0595703125,285051627060
2021-04-26,2319.47802734375,2984.891845703125,2308.315185546875,2952.05615234375,220866851897
2021-05-03,2951.17578125,3981.259033203125,2951.17578125,3928.8447265625,344594950620
2021-05-10,3924.413330078125,4362.3505859375,3350.95166015625,3587.506103515625,400749195286
2021-05-17,3581.343017578125,3587.765625,1737.46875,2109.579833984375,398441727887
2021-05-24,2099.93603515625,2911.735595703125,2090.6396484375,2390.305419921875,278778310752
2021-05-31,2387.198486328125,2891.2548828125,2279.505126953125,2715.0927734375,206114234750
2021-06-07,2713.04736328125,2845.18505859375,2265.758056640625,2508.3916015625,214989180606
2021-06-14,2508.7705078125,2639.229248046875,2049.962646484375,2246.364501953125,165998018623
2021-06-21,2245.31787109375,2259.464111328125,1707.6005859375,1978.8946533203125,181271282626
2021-06-28,1981.386474609375,2282.989013671875,1963.615478515625,2150.040283203125,137015697875
2021-07-03,2160.565673828125,2219.112548828125,2120.02001953125,2218.1044921875,18576734208
