,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2019-12-09,7561.79541015625,7618.091796875,6924.3759765625,7152.3017578125,122542519854,0.002237000036984682,0.0022509999107569456,0.0020800000056624413,0.0021540001034736633,467039402,151.22439575195312,151.9139404296875,139.4269561767578,143.114990234375,50079312865
2019-12-16,7153.6630859375,7518.033203125,6540.04931640625,7511.5888671875,165399102665,0.0021540001034736633,0.0021989999804645777,0.0019970000721514225,0.0021150000393390656,535675254,143.1395263671875,143.224853515625,119.78005981445312,132.3725128173828,64222383055
2019-12-23,7508.90234375,7656.17626953125,7189.93408203125,7422.65283203125,161758217053,0.002113000024110079,0.002136999974027276,0.002032000105828047,0.002067999914288521,507818415,132.30699157714844,136.8112030029297,124.82080841064453,134.7579803466797,60680673988
2019-12-30,7420.27294921875,7544.4970703125,6914.99609375,7411.3173828125,149690652648,0.0020699999295175076,0.002491000108420849,0.0019829999655485153,0.0024190000258386135,468372330,134.79652404785156,139.4102020263672,126.49002075195312,136.2767791748047,60136182925
2020-01-06,7410.4521484375,8396.73828125,7409.29296875,8192.494140625,184901289966,0.00241800001822412,0.002563999965786934,0.002145000034943223,0.002380999969318509,516584829,136.3055419921875,146.8280029296875,135.52040100097656,145.87393188476562,62381414344
2020-01-13,8189.77197265625,9164.3623046875,8079.70068359375,8706.2451171875,241668743794,0.002380999969318509,0.002570000011473894,0.0022929999977350235,0.0024049999192357063,773521680,146.2201385498047,178.52877807617188,142.90713500976562,166.9698486328125,97639543132
2020-01-20,8704.6318359375,8792.994140625,8266.8408203125,8596.830078125,165113602391,0.0024049999192357063,0.002423000056296587,0.002211000071838498,0.002305000089108944,593808797,166.9041290283203,171.00869750976562,156.74974060058594,168.0771026611328,68717085329
2020-01-27,8597.30859375,9553.1259765625,8597.30859375,9344.365234375,212298356923,0.0023040000814944506,0.0025059999898076057,0.00228299992159009,0.0024679999332875013,591998958,168.00885009765625,193.0803985595703,166.90109252929688,188.61753845214844,83460146823
2020-02-03,9344.68359375,10129.435546875,9112.8115234375,10116.673828125,239180811399,0.0024659999180585146,0.0035310001112520695,0.0024019998963922262,0.0032319999299943447,936039085,188.60740661621094,229.86424255371094,185.40362548828125,228.5785675048828,103844093984
2020-02-10,10115.5595703125,10457.626953125,9722.38671875,9934.43359375,300413081965,0.0032339999452233315,0.0033030000049620867,0.0026259999722242355,0.002773999935016036,1150687235,228.54913330078125,287.1236877441406,218.08004760742188,259.89471435546875,155914144464
2020-02-17,9936.560546875,10191.67578125,9507.6376953125,9924.515625,303140360741,0.002739999908953905,0.002873999997973442,0.0025470000691711903,0.00267999991774559,1113112943,259.89056396484375,283.5379333496094,244.3353271484375,273.754150390625,155804425527
2020-02-24,9921.5830078125,9951.74609375,8471.212890625,8562.4541015625,299233009521,0.002678999910131097,0.002686999971047044,0.002211000071838498,0.0022750000935047865,1164487373,273.705078125,275.5395202636719,212.66452026367188,218.97059631347656,155085502169
2020-03-02,8563.2646484375,9167.6953125,8105.2529296875,8108.1162109375,276706069337,0.0022780001163482666,0.0025309999473392963,0.0021840000990778208,0.0021869998890906572,880435818,218.7116241455078,249.97848510742188,200.6029815673828,200.68905639648438,135115381288
2020-03-09,8111.146484375,8177.79345703125,4106.98095703125,5392.31494140625,326123224372,0.002188999904319644,0.002263000002130866,0.0012469999492168427,0.0016850000247359276,979660129,201.31849670410156,207.45140075683594,95.1843032836914,125.21430206298828,134434550043
