,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2020-07-04,0.002314999932423234,0.0023399998899549246,0.00228899996727705,0.0023089998867362738,109218071,225.28848266601562,230.05413818359375,225.13331604003906,229.07411193847656,5228310135,9084.2333984375,9183.2958984375,9053.6298828125,9132.48828125,12290528515
2020-07-05,0.0023070001043379307,0.0023270000237971544,0.0022770001087337732,0.0023089998867362738,110140542,228.9761962890625,229.85671997070312,224.54449462890625,227.6645965576172,5292172429,9126.0908203125,9162.18359375,8977.015625,9073.9423828125,12903406143
2020-07-06,0.0023089998867362738,0.002623999956995249,0.002302000066265464,0.002615999896079302,132105139,227.6850128173828,242.13270568847656,227.02952575683594,241.51022338867188,8782917553,9072.849609375,9375.474609375,9058.6640625,9375.474609375,17889263252
2020-07-07,0.0026140001136809587,0.003258999902755022,0.0026000000070780516,0.0030900000128895044,283970310,240.97259521484375,242.68185424804688,234.21865844726562,239.07553100585938,6441497597,9349.1611328125,9360.6171875,9201.8154296875,9252.27734375,13839652595
2020-07-08,0.003097000066190958,0.005419999826699495,0.0030610000248998404,0.004749999847263098,1226813925,239.15997314453125,248.30886840820312,238.39837646484375,246.67001342773438,9892586411,9253.0205078125,9450.3359375,9249.5,9428.3330078125,19702359883
2020-07-09,0.004732000175863504,0.005013999994844198,0.004147999919950962,0.004397000186145306,511315527,246.748291015625,247.2916717529297,239.89865112304688,243.01596069335938,8429099199,9427.994140625,9431.37890625,9234.9990234375,9277.9677734375,18000702524
2020-07-10,0.004393999930471182,0.004393999930471182,0.003438000101596117,0.0035149999894201756,225424869,242.86801147460938,242.8837890625,236.73052978515625,240.9849853515625,7281370522,9273.357421875,9287.4716796875,9118.001953125,9278.8076171875,16860035605
2020-07-11,0.0035280000884085894,0.003920000046491623,0.0034759999252855778,0.0038109999150037766,155299369,241.04478454589844,241.52748107910156,238.33123779296875,239.4581756591797,5643067316,9277.51171875,9293.5322265625,9199.4853515625,9240.3466796875,13249910444
2020-07-12,0.0038109999150037766,0.003843999933451414,0.0036140000447630882,0.0036299999337643385,87562043,239.4596405029297,243.31114196777344,237.7702178955078,242.13169860839844,6596394718,9241.0546875,9319.4189453125,9197.4501953125,9276.5,14452361907
2020-07-13,0.0036299999337643385,0.0036359999794512987,0.0030590000096708536,0.00317799998447299,143177055,242.18186950683594,244.31051635742188,238.2323760986328,239.60458374023438,7787751468,9277.205078125,9306.4052734375,9224.29296875,9243.6142578125,17519821266
2020-07-14,0.0031689999159425497,0.003369000041857362,0.0030610000248998404,0.0032939999364316463,103213409,239.97561645507812,242.0037841796875,237.7961883544922,240.21148681640625,7357458555,9238.703125,9283.841796875,9171.6611328125,9243.2138671875,18085038362
2020-07-15,0.0032870001159608364,0.0033030000049620867,0.0030739998910576105,0.0030849999748170376,69399827,240.14364624023438,241.40269470214844,237.09617614746094,238.42352294921875,6189328448,9241.8974609375,9275.3251953125,9171.93359375,9192.8369140625,15844731575
2020-07-16,0.003085999982431531,0.0030980000738054514,0.0028929999098181725,0.0029949999880045652,78457844,238.45091247558594,239.00625610351562,231.6211700439453,233.64088439941406,5832057567,9191.98046875,9214.3125,9088.947265625,9132.2275390625,15713967523
2020-07-17,0.0029909999575465918,0.003083999967202544,0.002937000012025237,0.0030610000248998404,74705371,233.69139099121094,234.41506958007812,232.10997009277344,232.77308654785156,5859850529,9131.8125,9182.25390625,9089.2021484375,9151.392578125,13944570749
2020-07-18,0.003060000017285347,0.003628999926149845,0.003031000029295683,0.0034729999024420977,204080851,232.85568237304688,236.54397583007812,232.32489013671875,235.4838104248047,5397402117,9151.18359375,9230.9833984375,9100.82421875,9159.0400390625,12252601475
2020-07-19,0.003464000066742301,0.0037529999390244484,0.0033289999701082706,0.003381999908015132,116746163,235.4582977294922,239.1606903076172,233.2797393798828,238.48751831054688,6251377305,9158.005859375,9201.3984375,9097.6328125,9185.8173828125,12939002784
2020-07-20,0.0033829999156296253,0.00343300006352365,0.003166999900713563,0.0032389999832957983,81038624,238.494873046875,239.5762481689453,234.85264587402344,236.15316772460938,5600686192,9187.220703125,9214.2705078125,9137.509765625,9164.2314453125,13755604146
2020-07-21,0.0032319999299943447,0.003309000050649047,0.0031870000530034304,0.0033050000201910734,77748189,236.30250549316406,246.18626403808594,235.68096923828125,245.0167236328125,6806696015,9162.5146484375,9407.2626953125,9149.3896484375,9374.8876953125,18069581956
2020-07-22,0.0033019999973475933,0.00330400001257658,0.0032210000790655613,0.0032850001007318497,54443238,245.03726196289062,262.98504638671875,242.48434448242188,262.1906433105469,7702077383,9375.080078125,9530.5185546875,9319.6533203125,9525.36328125,16532254884
2020-07-23,0.003283000085502863,0.0033209999091923237,0.0032649999484419823,0.0032949999440461397,58737115,262.3886413574219,277.5834655761719,261.0470886230469,274.6890563964844,10281309262,9527.1416015625,9610.2470703125,9483.00390625,9581.072265625,18146399002
2020-07-24,0.0032949999440461397,0.0033229999244213104,0.0031769999768584967,0.003220000071451068,58910215,274.7226867675781,286.1928405761719,269.2397766113281,279.2154235839844,9466060358,9585.5146484375,9623.3369140625,9481.4541015625,9536.892578125,16552768325
2020-07-25,0.0032190000638365746,0.0032949999440461397,0.003189000068232417,0.0032339999452233315,63203396,279.0263671875,306.7409973144531,279.0263671875,304.0567626953125,10785021813,9539.4853515625,9704.556640625,9530.2119140625,9677.11328125,16610070933
2020-07-26,0.003237999975681305,0.003269999986514449,0.0031840000301599503,0.003234999952837825,62592233,303.6923828125,316.3863220214844,300.267822265625,309.64361572265625,12003973026,9680.234375,10023.8076171875,9652.84765625,9905.1669921875,20507998997
