,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2021-01-25,1390.639892578125,1467.784912109375,1304.9739990234375,1324.414794921875,43565777745,32285.798828125,34802.7421875,32087.787109375,32366.392578125,59897054838,0.008727000094950199,0.008879000321030617,0.008275999687612057,0.008383000269532204,180820875
2021-01-26,1323.74169921875,1376.0850830078125,1253.34033203125,1357.05810546875,41572917750,32358.61328125,32794.55078125,31030.265625,32569.849609375,60255421470,0.008382000029087067,0.008456000126898289,0.008022000081837177,0.008255000226199627,161173749
2021-01-27,1358.3333740234375,1368.0740966796875,1215.311279296875,1253.1871337890625,39394416990,32564.029296875,32564.029296875,29367.138671875,30432.546875,62576762015,0.008255000226199627,0.0082590002566576,0.007294000126421452,0.007482000160962343,204797186
2021-01-28,1251.27978515625,1321.613037109375,1226.1739501953125,1298.101806640625,39790481941,30441.041015625,31891.30078125,30023.20703125,31649.60546875,78948162368,0.007480999920517206,0.013825999572873116,0.007350999861955643,0.012555000372231007,2125005503
2021-01-29,1369.0867919921875,1428.981201171875,1292.2401123046875,1382.5228271484375,53611955259,34318.671875,38406.26171875,32064.814453125,34316.38671875,117894572511,0.043733999133110046,0.07797300070524216,0.03234099969267845,0.047162000089883804,25403310432
2021-01-30,1382.23193359375,1402.3997802734375,1328.529052734375,1376.115478515625,30616574234,34295.93359375,34834.70703125,32940.1875,34269.5234375,65141828798,0.04680300131440163,0.049901001155376434,0.022487999871373177,0.028176000341773033,8735576553
2021-01-31,1376.8236083984375,1378.916015625,1288.5015869140625,1314.9862060546875,25198853581,34270.87890625,34288.33203125,32270.17578125,33114.359375,52754542671,0.02819100022315979,0.04528899863362312,0.027101999148726463,0.037195999175310135,8548997882
2021-02-01,1314.855224609375,1373.8458251953125,1274.3577880859375,1369.04052734375,29210670920,33114.578125,34638.21484375,32384.228515625,33537.17578125,61400400660,0.037053998559713364,0.04324999824166298,0.03336700052022934,0.03487500175833702,6319224026
2021-02-02,1369.505126953125,1542.990966796875,1362.771240234375,1515.1937255859375,45437142801,33533.19921875,35896.8828125,33489.21875,35510.2890625,63088585433,0.03491000086069107,0.034926000982522964,0.029194999486207962,0.03152000159025192,3090896595
2021-02-03,1514.7696533203125,1660.9095458984375,1510.01025390625,1660.9095458984375,41874566399,35510.8203125,37480.1875,35443.984375,37472.08984375,61166818159,0.03149300068616867,0.03910500183701515,0.03114599920809269,0.03711999952793121,3146856788
2021-02-04,1661.170166015625,1689.1866455078125,1561.853515625,1594.7626953125,44396871836,37475.10546875,38592.17578125,36317.5,36926.06640625,68838074392,0.03722599893808365,0.05786899849772453,0.035944998264312744,0.05328899994492531,13040837601
2021-02-05,1594.7933349609375,1756.510986328125,1594.7933349609375,1718.65087890625,40108628454,36931.546875,38225.90625,36658.76171875,38144.30859375,58598066402,0.053043000400066376,0.0537399984896183,0.043540000915527344,0.04693499952554703,6136160058
2021-02-06,1717.7974853515625,1738.314453125,1649.0687255859375,1677.8468017578125,39873420648,38138.38671875,40846.546875,38138.38671875,39266.01171875,71326033653,0.04693099856376648,0.05830800160765648,0.04490400105714798,0.05759499967098236,5946101275
2021-02-07,1677.605712890625,1690.03662109375,1501.750244140625,1614.227783203125,39889440151,39250.19140625,39621.8359375,37446.15234375,38903.44140625,65500641143,0.05750200152397156,0.08435700088739395,0.054239001125097275,0.07878199964761734,14261024073
2021-02-08,1613.6422119140625,1770.5908203125,1571.5799560546875,1746.6168212890625,48012285956,38886.828125,46203.9296875,38076.32421875,46196.46484375,101467222687,0.07835199683904648,0.08494500070810318,0.06470199674367905,0.07882499694824219,12844375210
2021-02-09,1746.9261474609375,1815.963623046875,1711.62060546875,1768.0350341796875,44180727529,46184.9921875,48003.72265625,45166.9609375,46481.10546875,91809846886,0.07877299934625626,0.08312799781560898,0.06562100350856781,0.07006999850273132,7348840814
2021-02-10,1768.039794921875,1826.69677734375,1686.5423583984375,1744.243408203125,41916084617,46469.76171875,47145.56640625,43881.15234375,44918.18359375,87301089896,0.0701109990477562,0.0810910016298294,0.06852500140666962,0.07289600372314453,6785088422
2021-02-11,1743.7142333984375,1806.5390625,1708.67919921875,1783.7979736328125,36021495262,44898.7109375,48463.46875,44187.76171875,47909.33203125,81388911810,0.072843998670578,0.07430099695920944,0.06829000264406204,0.0696759968996048,3818556739
2021-02-12,1783.4891357421875,1861.35693359375,1744.1689453125,1843.5325927734375,37905036865,47877.03515625,48745.734375,46424.9765625,47504.8515625,76555041196,0.06965000182390213,0.07260999828577042,0.061445001512765884,0.07006900012493134,4190843784
2021-02-13,1843.98681640625,1871.603515625,1770.612060546875,1814.10986328125,35359490535,47491.203125,48047.74609375,46392.28125,47105.515625,70250456155,0.0700249969959259,0.07164599746465683,0.0661349967122078,0.06644999980926514,2618049766
2021-02-14,1814.372314453125,1848.154052734375,1789.9141845703125,1805.0841064453125,31439114900,47114.5078125,49487.640625,47114.5078125,48717.2890625,71248675228,0.06644800305366516,0.06644800305366516,0.05672299861907959,0.06253699958324432,3984667628
